Title,Description,Language,Badges,Stars
crx2app,,JavaScript,,19
concatenate.js,,JavaScript,,91
firmata.py,,Python,,20
sirius,sirius,0,,6
crx2app,,JavaScript,,19
concatenate.js,,JavaScript,,91
firmata.py,,Python,,20
sirius,sirius,0,,6
libkml,Reference implementation of OGC KML 2.2,C++,,86
geovelo,,JavaScript,,45
gfw-toolkit,Enterprise command-line scripts and samples for Google Apps Admin SDK.,Python,,29
googleapps-message-recall,,Python,,16
macops-MOMenu,MOMenu is a statusbar item with a plug-in architecture.,Objective-C,,46
dart2java,,Java,,56
param_runner,,Shell,,3
gde-speakersbureau,,JavaScript,,6
AppUpdateTrackerLib,,Java,,7
rustcxx,rustcxx: Using C++ from Rust made easy,Rust,,498
dualhttp,"Render your page with cached data, then fetch up-to-date data from server and update the page.",JavaScript,,20
go-webdav,,Go,,70
dorusu-js,This repository is no longer maintained. Please see https://github.com/grpc/grpc-node which is now aims to provide a pure js gRPC library as well.,JavaScript,,39
identity-toolkit-go-client,Google identity Toolkit client library for Go,Go,,56
dynamex-proto,,Protocol Buffer,,5
auto-common,,0,,4
auto-service,,0,,4
auto-factory,,0,,4
prudaq,PRUDAQ is an open source 40MSPS (megasamples per second) Data Acquisition board for the Beaglebone Black/Green,Eagle,,117
realtime-help,,Python,,19
pepper.js,Pepper applications as Native Client or JavaScript,JavaScript,,323
instant-hangouts,Easily add Google+ Hangouts to any web page.,JavaScript,,186
LiquidFunPaint,,Java,,154
easy-gwt-mock,An EasyMock-like Mocking Framework for Google Web Toolkit,Java,,12
gofountain,,Go,,95
VoltAir,,C++,,317
bzip2-rpc,Experiments in converting bzip2 API to be RPC-based,C,,12
gipfeli,,C++,,104
go-circuits,,Go,,14
rpki-mgmt,,Puppet,,4
crx2app,,JavaScript,,19
concatenate.js,,JavaScript,,91
firmata.py,,Python,,20
sirius,sirius,0,,6
libkml,Reference implementation of OGC KML 2.2,C++,,86
geovelo,,JavaScript,,45
gfw-toolkit,Enterprise command-line scripts and samples for Google Apps Admin SDK.,Python,,29
googleapps-message-recall,,Python,,16
macops-MOMenu,MOMenu is a statusbar item with a plug-in architecture.,Objective-C,,46
dart2java,,Java,,56
param_runner,,Shell,,3
gde-speakersbureau,,JavaScript,,6
AppUpdateTrackerLib,,Java,,7
rustcxx,rustcxx: Using C++ from Rust made easy,Rust,,498
dualhttp,"Render your page with cached data, then fetch up-to-date data from server and update the page.",JavaScript,,20
go-webdav,,Go,,70
dorusu-js,This repository is no longer maintained. Please see https://github.com/grpc/grpc-node which is now aims to provide a pure js gRPC library as well.,JavaScript,,39
identity-toolkit-go-client,Google identity Toolkit client library for Go,Go,,56
dynamex-proto,,Protocol Buffer,,5
auto-common,,0,,4
auto-service,,0,,4
auto-factory,,0,,4
