Title,Description,Language,Badges,Stars
nft,Node.js dependency tracing utility,JavaScript,,791
nextjs-portfolio-starter,Easily create a portfolio with Next.js and Markdown.,JavaScript,"blog,nextjs,vercel",390
ms,Tiny millisecond conversion utility,TypeScript,"utility,conversion,milliseconds",4227
title-site,A website for capitalizing your titles,JavaScript,"names,title,capitalization,capitalize",106
title,A service for capitalizing your title properly,JavaScript,"service,title,capitalize,vercel",513
release,Generate changelogs with a single command,JavaScript,"npm,releases,vercel,github",3469
reactions,Next.js Incremental Static Regeneration Demo,JavaScript,,269
hazel,Lightweight update server for Electron apps,JavaScript,"electron,updates,github-releases",2696
async-retry,"Retrying made simple, easy and async",JavaScript,"javascript,retry,await,async",1561
beginner-sveltekit,The complete course to start your journey building Svelte applications.,Svelte,"svelte,vercel,sveltekit",50
mongodb-starter,"A developer directory built on Next.js and MongoDB Atlas, deployed on Vercel with the Vercel + MongoDB integration.",TypeScript,,188
micro-dev,The development environment for `micro`,JavaScript,"cli,development,tools,interface,command-line",671
next-react-server-components,Demo repository for Next.js + React Server Components,JavaScript,"react-server-components,react,nextjs",638
server-components-notes-demo,Experimental demo of React Server Components with Next.js. Deployed serverlessly on Vercel.,JavaScript,"serverless,vercel,react-server-components,react,nextjs",665
serve-handler,The foundation of `serve`,JavaScript,"middleware,server,handler,static,single-page-applications",456
fun,ƒun - Local serverless function λ development runtime,TypeScript,,396
webpack-asset-relocator-loader,Used in ncc while emitting and relocating any asset references,JavaScript,,74
pkg-fetch,A utility to fetch or build patched Node binaries used by `pkg` to generate executables. This repo hosts prebuilt binaries in Releases.,TypeScript,,291
nextjs-discord-bot,Discord bot for the official Next.js Discord,TypeScript,,48
spr-landing,Serverless Pre-Rendering Landing Page,CSS,"demo,notion,vercel",384
resolve-node,API endpoint to resolve an arbitrary Node.js version with semver support,JavaScript,,24
hitbot,,TypeScript,,2
commerce-framework,,TypeScript,,88
react-keyframes,Create frame-based animations in React,TypeScript,"react,animate,animation,frame,keyframes",608
sqsmv,Move messages between two SQS queues,Go,,9
cosmosdb-server,A Cosmos DB server implementation for testing your applications locally.,TypeScript,,145
body-scroll-lock,Body scroll locking that just works with everything 😏,JavaScript,,4
workshop-reacthaton,,TypeScript,,6
email-prompt,CLI email prompt with autocompletion and built-in validation,JavaScript,,270
nextgram,A sample Next.js app showing dynamic routing with modals as a route.,JavaScript,"nextjs,vercel",57
nft,Node.js dependency tracing utility,JavaScript,,791
nextjs-portfolio-starter,Easily create a portfolio with Next.js and Markdown.,JavaScript,"blog,nextjs,vercel",390
ms,Tiny millisecond conversion utility,TypeScript,"utility,conversion,milliseconds",4227
title-site,A website for capitalizing your titles,JavaScript,"names,title,capitalization,capitalize",106
title,A service for capitalizing your title properly,JavaScript,"service,title,capitalize,vercel",513
release,Generate changelogs with a single command,JavaScript,"npm,releases,vercel,github",3469
reactions,Next.js Incremental Static Regeneration Demo,JavaScript,,269
hazel,Lightweight update server for Electron apps,JavaScript,"electron,updates,github-releases",2696
async-retry,"Retrying made simple, easy and async",JavaScript,"javascript,retry,await,async",1561
beginner-sveltekit,The complete course to start your journey building Svelte applications.,Svelte,"svelte,vercel,sveltekit",50
mongodb-starter,"A developer directory built on Next.js and MongoDB Atlas, deployed on Vercel with the Vercel + MongoDB integration.",TypeScript,,188
